id;song_title;album_title;year_of_release;month_of_release;type
183;Katie' Been Gone;The Basement Tapes;1975;6;Cover
184;Lo and Behold!;The Basement Tapes;1975;6;Original
185;Bessie Smith;The Basement Tapes;1975;6;Cover
186;Clothes Line Saga;The Basement Tapes;1975;6;Original
187;Apple Suckling Tree;The Basement Tapes;1975;6;Original
188;Please, Mrs. Henry;The Basement Tapes;1975;6;Original
189;Tears of Rage;The Basement Tapes;1975;6;Original
190;Too Much of Nothing;The Basement Tapes;1975;6;Original
191;Yea! Heavy and a Bottle of Bread;The Basement Tapes;1975;6;Original
192;Ain't No More Cane;The Basement Tapes;1975;6;Traditional
193;Crash on the Levee (Down in the Flood);The Basement Tapes;1975;6;Original
194;Ruben Remus;The Basement Tapes;1975;6;Cover
195;Tiny Montgomery;The Basement Tapes;1975;6;Original
196;You Ain't Goin' Nowhere;The Basement Tapes;1975;6;Original
197;Don’t Ya Tell Henry;The Basement Tapes;1975;6;Original
198;Nothing Was Delivered;The Basement Tapes;1975;6;Original
199;Open the Door, Homer;The Basement Tapes;1975;6;Original
200;Long Distance Operator;The Basement Tapes;1975;6;Original
201;This Wheel's on Fire;The Basement Tapes;1975;6;Original
202;Hurricane;Desire;1976;1;Original
203;Isis;Desire;1976;1;Original
204;Mozambique;Desire;1976;1;Original
205;One More Cup of Coffee (Valley Below);Desire;1976;1;Original
206;Oh, Sister;Desire;1976;1;Original
207;Joey;Desire;1976;1;Original
208;Romance in Durango;Desire;1976;1;Original
209;Black Diamond Bay;Desire;1976;1;Original
210;Sara;Desire;1976;1;Original
211;Changing of the Guards;Street-Legal;1978;6;Original
212;New Pony;Street-Legal;1978;6;Original
213;No Time to Think;Street-Legal;1978;6;Original
214;Baby, Stop Crying;Street-Legal;1978;6;Original
215;Is Your Love in Vain?;Street-Legal;1978;6;Original
216;Señor (Tales of Yankee Power);Street-Legal;1978;6;Original
217;True Love Tends to Forget;Street-Legal;1978;6;Original
218;We Better Talk This Over;Street-Legal;1978;6;Original
219;Where Are You Tonight? (Journey Through Dark Heat);Street-Legal;1978;6;Original
220;Gotta Serve Somebody;Slow Train Coming;1979;8;Original
221;Precious Angel;Slow Train Coming;1979;8;Original
222;I Believe in You;Slow Train Coming;1979;8;Original
223;Slow Train;Slow Train Coming;1979;8;Original
224;Gonna Change My Way of Thinking;Slow Train Coming;1979;8;Original
225;Do Right to Me Baby (Do Unto Others);Slow Train Coming;1979;8;Original
226;When You Gonna Wake Up?;Slow Train Coming;1979;8;Original
227;Man Gave Names to All the Animals;Slow Train Coming;1979;8;Original
228;When He Returns;Slow Train Coming;1979;8;Original
229;A Satisfied Mind;Saved;1980;6;Cover
230;Saved;Saved;1980;6;Original
231;Covenant Woman;Saved;1980;6;Original
232;What Can I Do for You?;Saved;1980;6;Original
233;Solid Rock;Saved;1980;6;Original
234;Pressing On;Saved;1980;6;Original
235;In the Garden;Saved;1980;6;Original
236;Saving Grace;Saved;1980;6;Original
237;Are You Ready?;Saved;1980;6;Original
238;Shot of Love;Shot of Love;1981;8;Original
239;Heart of Mine;Shot of Love;1981;8;Original
240;Property of Jesus;Shot of Love;1981;8;Original
241;Lenny Bruce;Shot of Love;1981;8;Original
242;Watered-Down Love;Shot of Love;1981;8;Original
243;The Groom's Still Waiting at the Altar;Shot of Love;1981;8;Original
244;Dead Man, Dead Man;Shot of Love;1981;8;Original
245;In the Summertime;Shot of Love;1981;8;Original
246;Trouble;Shot of Love;1981;8;Original
247;Every Grain of Sand;Shot of Love;1981;8;Original
248;Jokerman;Infidels;1983;11;Original
249;Sweetheart Like You;Infidels;1983;11;Original
250;Neighborhood Bully;Infidels;1983;11;Original
251;License to Kill;Infidels;1983;11;Original
252;Man of Peace;Infidels;1983;11;Original
253;Union Sundown;Infidels;1983;11;Original
254;I and I;Infidels;1983;11;Original
